attempts,accuracy,recent_accuracy,difficulty,correct_answers,mastered
8,69.37,59.95,3,6,0
13,63.69,46.44,2,8,0
7,11.49,12.4,1,1,0
16,64.5,51.59,1,10,1
4,55.3,40.0,3,2,0
7,58.54,38.58,3,4,0
16,47.86,62.85,3,8,0
16,94.46,93.74,1,15,1
14,82.42,98.73,3,12,1
6,22.05,21.14,2,1,0
5,63.85,65.6,2,3,0
3,76.93,57.21,3,2,0
19,43.75,31.97,1,8,0
16,19.59,16.64,2,3,0
11,48.12,42.75,3,5,0
15,47.19,58.54,1,7,0
14,59.94,50.09,3,8,0
14,45.83,31.35,3,6,0
6,30.68,42.0,3,2,0
6,55.75,67.19,1,3,1
4,45.02,50.45,1,2,0
7,93.33,90.74,2,7,1
10,17.2,0.0,2,2,0
15,69.06,60.51,3,10,0
4,67.63,65.19,1,3,0
19,27.53,38.89,2,5,0
10,25.25,6.7,3,3,0
3,17.82,8.85,1,1,0
15,62.75,63.46,2,9,0
5,59.46,68.51,1,3,0
14,96.7,87.76,2,14,1
9,93.67,96.67,2,8,1
16,19.58,2.48,3,3,0
6,96.1,100.0,3,6,1
11,49.85,44.93,3,5,0
10,96.51,94.87,2,10,1
3,20.46,3.17,2,1,0
10,73.11,85.11,3,7,1
14,58.21,66.24,3,8,0
12,45.9,55.86,1,6,0
20,52.89,47.03,1,11,0
11,95.24,100.0,1,10,1
18,27.97,37.39,3,5,0
9,28.25,18.24,1,3,0
7,20.79,3.93,1,1,0
18,10.6,24.88,3,2,0
18,65.86,65.55,2,12,1
11,26.46,37.03,2,3,0
15,77.52,62.65,1,12,1
16,94.57,75.87,2,15,1
8,97.89,100.0,2,8,1
3,70.67,65.85,1,2,0
14,87.57,75.05,3,12,1
11,96.27,89.99,2,11,1
16,47.72,57.81,1,8,0
15,50.57,53.42,2,8,0
10,74.87,87.04,1,7,1
15,23.13,41.49,1,3,0
3,47.94,33.32,1,1,0
19,74.85,86.26,3,14,1
20,14.29,0.0,3,3,0
9,52.89,58.08,2,5,0
13,42.49,44.9,2,6,0
11,11.79,0.0,2,1,0
9,61.83,67.8,3,6,0
12,39.26,39.68,2,5,0
17,44.3,35.76,1,8,0
7,67.65,84.79,1,5,1
15,17.12,10.87,1,3,0
12,34.07,39.86,3,4,0
17,77.31,78.15,2,13,1
8,86.88,71.88,1,7,1
11,73.06,56.27,3,8,0
6,15.74,30.89,1,1,0
3,57.16,77.0,2,2,0
7,68.93,84.35,1,5,1
10,35.58,40.64,3,4,0
8,13.16,7.44,1,1,0
18,97.75,99.37,2,18,1
17,97.26,100.0,1,17,1
17,77.4,92.49,3,13,1
20,91.8,91.07,2,18,1
5,37.71,34.2,2,2,0
3,57.1,67.43,1,2,0
12,58.16,65.67,2,7,0
18,10.82,8.04,2,2,0
10,59.34,46.88,1,6,0
16,32.49,41.09,2,5,0
15,33.67,30.56,1,5,0
11,68.36,69.64,2,8,0
9,26.42,18.0,1,2,0
17,73.04,72.72,2,12,0
7,97.27,78.16,1,7,1
12,21.25,18.79,2,3,0
5,11.33,0.01,1,1,0
18,51.73,63.39,2,9,0
7,33.99,29.68,1,2,0
8,90.61,80.62,1,7,1
3,97.71,100.0,1,3,1
17,76.39,57.73,1,13,1
6,69.94,58.28,3,4,0
12,24.28,33.4,2,3,0
20,20.99,20.24,3,4,0
14,87.73,76.44,1,12,1
16,11.36,23.13,2,2,0
15,10.8,0.0,1,2,0
18,63.66,58.52,3,11,0
8,18.23,22.97,2,1,0
4,42.0,28.15,1,2,0
6,53.91,46.58,1,3,0
14,75.99,56.84,2,11,0
7,90.88,90.29,2,6,1
12,72.73,60.32,3,9,0
14,75.92,66.93,2,11,1
20,16.2,2.4,1,3,0
11,43.04,23.07,3,5,0
15,26.7,7.45,3,4,0
10,74.89,81.22,2,7,1
15,57.17,57.07,1,9,0
12,46.88,39.76,2,6,0
5,85.17,70.36,1,4,1
9,53.68,37.63,1,5,0
15,54.09,59.05,3,8,0
4,29.87,38.58,2,1,0
9,54.23,69.82,3,5,0
4,60.22,77.75,2,2,0
14,15.25,19.92,3,2,0
5,17.01,5.65,2,1,0
6,30.79,26.2,3,2,0
